Unit ID	Timestamp	Device ID	Variable ID	Value
212	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1084
213	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0988
214	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0783
215	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0995
216	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0660
217	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0596
218	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0770
301	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0356
302	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0391
303	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0331
304	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0521
305	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0425
306	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1434
307	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1013
308	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0799
309	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0971
310	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0926
311	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1194
312	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0549
313	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0670
314	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0353
315	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0686
316	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1103
317	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0574
318	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0834
401	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0673
402	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0986
403	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0636
404	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1034
405	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0991
406	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0654
407	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0511
408	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1036
409	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0582
410	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0875
411	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0763
412	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1034
413	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1039
414	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0470
415	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.1032
416	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0875
417	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0515
418	2019_11_11	MT_XS205DU_#1	Root_dry_weight	0.0766
101	2019_11_11	WinRhizo_lab425	Total_root_length_scan	2137.90
102	2019_11_11	WinRhizo_lab425	Total_root_length_scan	1622.61
103	2019_11_11	WinRhizo_lab425	Total_root_length_scan	1766.15
104	2019_11_11	WinRhizo_lab425	Total_root_length_scan	275.45
105	2019_11_11	WinRhizo_lab425	Total_root_length_scan	2122.43
106	2019_11_11	WinRhizo_lab425	Total_root_length_scan	1170.97
107	2019_11_11	WinRhizo_lab425	Total_root_length_scan	4418.41
108	2019_11_11	WinRhizo_lab425	Total_root_length_scan	1938.89
109	2019_11_11	WinRhizo_lab425	Total_root_length_scan	3409.77
110	2019_11_11	WinRhizo_lab425	Total_root_length_scan	2365.98
111	2019_11_11	WinRhizo_lab425	Total_root_length_scan	2326.02
112	2019_11_11	WinRhizo_lab425	Total_root_length_scan	703.02
113	2019_11_11	WinRhizo_lab425	Total_root_length_scan	2307.07
114	2019_11_11	WinRhizo_lab425	Total_root_length_scan	2886.04
