Unit.ID	Time	Date	Timestamp	Manual_Plant_height_cm	Leaf_number	Wue	Plant_biomass	Ligulated_leaf_number	Plant_emergence	Plant_transpiration	Daily_wu	Soil_water_potential	Genotype	Soil	Replication	Row	Column	Platform
26	NA	2019-11-11	NA	31.8	5.8	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	1	26	1	FZJ
27	NA	2019-10-28	NA	8.5	2	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	1	27	1	FZJ
27	NA	2019-10-31	NA	11	2.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	1	27	1	FZJ
27	NA	2019-11-04	NA	23	3.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	1	27	1	FZJ
27	NA	2019-11-07	NA	30	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	1	27	1	FZJ
27	NA	2019-11-11	NA	33	5.5	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	1	27	1	FZJ
28	NA	2019-10-28	NA	7.5	2.2	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	6	28	1	FZJ
28	NA	2019-10-31	NA	17	3.2	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	6	28	1	FZJ
28	NA	2019-11-04	NA	29.5	4	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	6	28	1	FZJ
28	NA	2019-11-07	NA	36.5	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	6	28	1	FZJ
28	NA	2019-11-11	NA	51	5.8	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	6	28	1	FZJ
29	NA	2019-10-28	NA	8.5	2.5	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	6	29	1	FZJ
29	NA	2019-10-31	NA	18	3.2	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	6	29	1	FZJ
29	NA	2019-11-04	NA	33	4.2	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	6	29	1	FZJ
29	NA	2019-11-07	NA	39	5	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	6	29	1	FZJ
29	NA	2019-11-11	NA	45	6	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	6	29	1	FZJ
30	NA	2019-10-28	NA	9.1	2.8	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	6	30	1	FZJ
30	NA	2019-10-31	NA	18	3.8	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	6	30	1	FZJ
30	NA	2019-11-04	NA	35.7	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	6	30	1	FZJ
30	NA	2019-11-07	NA	44	5.8	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	6	30	1	FZJ
30	NA	2019-11-11	NA	49.8	6.5	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	6	30	1	FZJ
31	NA	2019-10-28	NA	8	2	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	6	31	1	FZJ
31	NA	2019-10-31	NA	16.5	3.2	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	6	31	1	FZJ
31	NA	2019-11-04	NA	27	4	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	6	31	1	FZJ
31	NA	2019-11-07	NA	32	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	6	31	1	FZJ
31	NA	2019-11-11	NA	41	5.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	6	31	1	FZJ
32	NA	2019-10-28	NA	5.3	2	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	6	32	1	FZJ
32	NA	2019-10-31	NA	14.6	3.2	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	6	32	1	FZJ
32	NA	2019-11-04	NA	28.2	4.2	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	6	32	1	FZJ
32	NA	2019-11-07	NA	35	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	6	32	1	FZJ
32	NA	2019-11-11	NA	46	5.8	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	6	32	1	FZJ
