Unit.ID	Time	Date	Timestamp	Manual_Plant_height_cm	Leaf_number	Wue	Plant_biomass	Ligulated_leaf_number	Plant_emergence	Plant_transpiration	Daily_wu	Soil_water_potential	Genotype	Soil	Replication	Row	Column	Platform
9	09:17:59	2020-09-14	2020-09-14 09:17:59	NA	NA	-12.2263336740715	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	9	13	14	ALSIA
50	09:18:36	2020-09-14	2020-09-14 09:18:36	NA	NA	0.4894433003919	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	10	14	14	ALSIA
30	09:19:13	2020-09-14	2020-09-14 09:19:13	NA	NA	-8.11511772119754	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	10	15	14	ALSIA
20	09:19:51	2020-09-14	2020-09-14 09:19:51	NA	NA	-6.05546293348798	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	10	16	14	ALSIA
40	09:20:29	2020-09-14	2020-09-14 09:20:29	NA	NA	-3.35383180435403	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	10	17	14	ALSIA
10	09:21:08	2020-09-14	2020-09-14 09:21:08	NA	NA	-11.1897189629433	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	10	18	14	ALSIA
70	09:21:46	2020-09-14	2020-09-14 09:21:46	NA	NA	-9.08689227721226	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	10	19	14	ALSIA
80	09:24:19	2020-09-14	2020-09-14 09:24:19	NA	NA	-20.7543127432456	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	10	23	14	ALSIA
90	09:24:56	2020-09-14	2020-09-14 09:24:56	NA	NA	-8.90440063480914	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	10	24	14	ALSIA
60	09:25:20	2020-09-14	2020-09-14 09:25:20	NA	NA	-17.5993707543013	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	10	25	14	ALSIA
7	09:45:24	2020-09-14	2020-09-14 09:45:24	NA	NA	-11.1559071636224	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	7	1	15	ALSIA
57	09:45:54	2020-09-14	2020-09-14 09:45:54	NA	NA	-19.0295381314385	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	7	3	15	ALSIA
77	09:46:32	2020-09-14	2020-09-14 09:46:32	NA	NA	-20.0359919287735	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	7	4	15	ALSIA
47	09:46:56	2020-09-14	2020-09-14 09:46:56	NA	NA	-18.0656818067749	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	7	5	15	ALSIA
87	09:48:11	2020-09-14	2020-09-14 09:48:11	NA	NA	-4.78757595119202	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	7	7	15	ALSIA
27	09:49:25	2020-09-14	2020-09-14 09:49:25	NA	NA	-17.4552855450104	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	7	9	15	ALSIA
37	09:51:05	2020-09-14	2020-09-14 09:51:05	NA	NA	-12.7849540257372	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	7	12	15	ALSIA
17	09:51:29	2020-09-14	2020-09-14 09:51:29	NA	NA	-4.90167079441595	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	7	13	15	ALSIA
