timestamp	date	plantbarcode	genotype	type	Column	Row	replica	potId	irrigation	water_consumed
2020-09-11 09:12:49	2020-09-11	DIC09D11A10	EPPN1_L	Line	14	18	10	c18r14	100	80
2020-09-11 09:13:11	2020-09-11	DIC09D11G10	EPPN3_H	Hybrid	14	19	10	c19r14	90	70
2020-09-11 09:14:37	2020-09-11	DIC09D11H10	EPPN4_H	Hybrid	14	23	10	c23r14	80	65
2020-09-11 09:14:58	2020-09-11	DIC09D11I10	EPPN20_T	Line	14	24	10	c24r14	75	60
2020-09-11 09:15:12	2020-09-11	DIC09D11F10	EPPN2_H	Hybrid	14	25	10	c25r14	85	70
2020-09-11 09:32:19	2020-09-11	DIC09D11A07	EPPN1_L	Line	15	1	7	c1r15	85	65
2020-09-11 09:32:58	2020-09-11	DIC09D11F07	EPPN2_H	Hybrid	15	3	7	c3r15	85	70
2020-09-11 09:33:13	2020-09-11	DIC09D11H07	EPPN4_H	Hybrid	15	4	7	c4r15	80	70
2020-09-11 09:33:28	2020-09-11	DIC09D11E07	EPPN1_H	Hybrid	15	5	7	c5r15	75	65
2020-09-11 09:34:03	2020-09-11	DIC09D11I07	EPPN20_T	Line	15	7	7	c7r15	90	70
2020-09-11 09:34:44	2020-09-11	DIC09D11C07	EPPN3_L	Line	15	9	7	c9r15	80	65
2020-09-11 09:35:40	2020-09-11	DIC09D11D07	EPPN4_L	Line	15	12	7	c12r15	80	65
2020-09-11 09:35:53	2020-09-11	DIC09D11B07	EPPN2_L	Line	15	13	7	c13r15	80	65
2020-09-11 09:36:14	2020-09-11	DIC09D11G07	EPPN3_H	Hybrid	15	14	7	c14r15	85	70
2020-09-11 09:36:27	2020-09-11	DIC09D11B08	EPPN2_L	Line	15	15	8	c15r15	75	60
2020-09-11 09:36:40	2020-09-11	DIC09D11F08	EPPN2_H	Hybrid	15	16	8	c16r15	85	70
2020-09-11 09:37:22	2020-09-11	DIC09D11I08	EPPN20_T	Line	15	18	8	c18r15	85	70
2020-09-11 09:37:43	2020-09-11	DIC09D11E08	EPPN1_H	Hybrid	15	19	8	c19r15	95	75
2020-09-11 09:38:04	2020-09-11	DIC09D11D08	EPPN4_L	Line	15	20	8	c20r15	80	65
2020-09-11 09:38:25	2020-09-11	DIC09D11A08	EPPN1_L	Line	15	21	8	c21r15	95	75
2020-09-11 09:38:38	2020-09-11	DIC09D11C08	EPPN3_L	Line	15	22	8	c22r15	80	70
2020-09-11 09:39:42	2020-09-11	DIC09D11H08	EPPN4_H	Hybrid	15	25	8	c25r15	80	70
2020-09-11 09:40:04	2020-09-11	DIC09D11G08	EPPN3_H	Hybrid	15	26	8	c26r15	85	65
2020-09-11 11:00:53	2020-09-11	DIC09D11D05	EPPN4_L	Line	16	1	5	c1r16	80	65
2020-09-11 11:01:32	2020-09-11	DIC09D11A05	EPPN1_L	Line	16	3	5	c3r16	90	70
2020-09-11 11:01:47	2020-09-11	DIC09D11H05	EPPN4_H	Hybrid	16	4	5	c4r16	95	75
2020-09-11 11:02:02	2020-09-11	DIC09D11E05	EPPN1_H	Hybrid	16	5	5	c5r16	85	70
2020-09-11 11:02:58	2020-09-11	DIC09D11F05	EPPN2_H	Hybrid	16	8	5	c8r16	95	75
2020-09-11 11:03:19	2020-09-11	DIC09D11C05	EPPN3_L	Line	16	9	5	c9r16	90	70
2020-09-11 11:03:41	2020-09-11	DIC09D11I05	EPPN20_T	Line	16	10	5	c10r16	75	60
2020-09-11 11:03:54	2020-09-11	DIC09D11B05	EPPN2_L	Line	16	11	5	c11r16	80	65
2020-09-11 11:04:07	2020-09-11	DIC09D11G05	EPPN3_H	Hybrid	16	12	5	c12r16	90	75
2020-09-11 11:04:29	2020-09-11	DIC09D11I06	EPPN20_T	Line	16	13	6	c13r16	90	65
2020-09-11 11:05:53	2020-09-11	DIC09D11H06	EPPN4_H	Hybrid	16	17	6	c17r16	90	70
2020-09-11 11:06:28	2020-09-11	DIC09D11A06	EPPN1_L	Line	16	19	6	c19r16	95	75
2020-09-11 11:06:41	2020-09-11	DIC09D11D06	EPPN4_L	Line	16	20	6	c20r16	85	65
2020-09-11 11:06:54	2020-09-11	DIC09D11B06	EPPN2_L	Line	16	21	6	c21r16	95	75
2020-09-11 11:07:15	2020-09-11	DIC09D11F06	EPPN2_H	Hybrid	16	22	6	c22r16	80	65
2020-09-11 11:07:29	2020-09-11	DIC09D11G06	EPPN3_H	Hybrid	16	23	6	c23r16	80	65
