timestamp	date	plantbarcode	genotype	type	Column	Row	replica	potId	solidity.S.000	solidity.S.090	solidity.T.000	areaRaw.S.000	areaRaw.S.090	areaRaw.T.000	convex_hull_areaRaw.S.000	convex_hull_areaRaw.S.090	convex_hull_areaRaw.T.000	height_above_referenceRaw.S.000	height_above_referenceRaw.S.090
2020-09-10 11:34:57	2020-09-10	DIC09D11H04	EPPN4_H	Hybrid	17	17	4	c17r17	0.14068283591747988	0.2822892110146963	0.2085181484559572	10870	8442	11165	77266	29905.5	53544.5	419	402
2020-09-10 11:35:35	2020-09-10	DIC09D11C04	EPPN3_L	Line	17	18	4	c18r17	0.18138948547950323	0.8283173468991496	0.7856174311497639	11655	10665	8401	64254	12875.5	10693.5	400	408
2020-09-10 11:36:14	2020-09-10	DIC09D11D04	EPPN4_L	Line	17	19	4	c19r17	0.22865198558419264	0.25153034454614354	0.48507776376628836	10056	8629	9809	43979.5	34306	20221.5	259	257
2020-09-10 11:36:51	2020-09-10	DIC09D11A04	EPPN1_L	Line	17	20	4	c20r17	0.18927680618750853	0.3983146815880629	0.33860183300947105	13166	11959	11065	69559.5	30024	32678.5	427	430
2020-09-10 11:38:07	2020-09-10	DIC09D11F04	EPPN2_H	Hybrid	17	22	4	c22r17	0.16011740254322515	0.2372173058013766	0.1843474053465586	10747	12545	15240	67119.5	52884	82670	342	354
2020-09-10 11:39:21	2020-09-10	DIC09D11I04	EPPN20_T	Line	17	24	4	c24r17	0.21263229598980737	0.3157849220591097	0.4554167876851583	8428	7303	4704	39636.5	23126.5	10329	392	378
2020-09-10 11:40:00	2020-09-10	DIC09D11B04	EPPN2_L	Line	17	25	4	c25r17	0.25009295984134855	0.3368551574487872	0.3156450707738355	8071	6520	7593	32272	19355.5	24055.5	235	227
2020-09-10 12:10:26	2020-09-10	DIC09D11G01	EPPN3_H	Hybrid	18	1	1	c1r18	0.1938754608766899	0.3221111416542485	0.76958959407939	9465	11132	8579	48820	34559.5	11147.5	340	323
2020-09-10 12:10:42	2020-09-10	DIC09D11C01	EPPN3_L	Line	18	2	1	c2r18	0.5046974078930824	0.2877140114463468	0.8106896551724138	14048	11839	7053	27834.5	41148.5	8700	349	355
2020-09-10 12:10:57	2020-09-10	DIC09D11H01	EPPN4_H	Hybrid	18	3	1	c3r18	0.12638424254468772	0.5228954312619651	0.32265705324257843	11447	10106	12396	90573	19327	38418.5	372	382
2020-09-10 12:12:12	2020-09-10	DIC09D11B01	EPPN2_L	Line	18	5	1	c5r18	0.3281306715063521	0.18231152004506618	0.48977128467669767	10848	9709	11767	33060	53255	24025.5	335	309
2020-09-10 12:12:49	2020-09-10	DIC09D11A01	EPPN1_L	Line	18	6	1	c6r18	0.1880103565026887	0.2723910767069178	0.6321763546209451	10384	10275	10582	55231	37721.5	16739	349	325
2020-09-10 12:14:44	2020-09-10	DIC09D11D01	EPPN4_L	Line	18	9	1	c9r18	0.14296802748051263	0.416774281247876	0.44455519561425366	8657	9198	10704	60552	22069.5	24078	268	275
2020-09-10 12:15:20	2020-09-10	DIC09D11F01	EPPN2_H	Hybrid	18	10	1	c10r18	0.16611360530938904	0.4950028645999109	0.6139260984922021	10212	7776	9487	61476	15709	15453	297	312
2020-09-10 12:16:00	2020-09-10	DIC09D11E01	EPPN1_H	Hybrid	18	11	1	c11r18	0.17869015957446807	0.3660773321834124	0.4274988508095408	15050	12734	12555	84224	34785	29368.5	481	484
2020-09-10 12:16:38	2020-09-10	DIC09D11I01	EPPN20_T	Line	18	12	1	c12r18	0.16113732864965877	0.4927561759654762	0.37371343022893144	6812	5595	5991	42274.5	11354.5	16031	297	284
2020-09-10 12:17:15	2020-09-10	DIC09D11G02	EPPN3_H	Hybrid	18	13	2	c13r18	0.10869482015600003	0.5166254465512503	0.4808489295990286	7100	8460	9108	65320.5	16375.5	18941.5	353	348
2020-09-10 12:17:53	2020-09-10	DIC09D11D02	EPPN4_L	Line	18	14	2	c14r18	0.23193440540893895	0.2866688220713439	0.7518611750843555	6209	5320	7019	26770.5	18558	9335.5	195	175
2020-09-10 12:18:35	2020-09-10	DIC09D11A02	EPPN1_L	Line	18	15	2	c15r18	0.3699508268553531	0.17072122285123092	0.4817402349952366	11398	11716	10619	30809.5	68626.5	22043	337	340
2020-09-10 12:20:29	2020-09-10	DIC09D11C02	EPPN3_L	Line	18	18	2	c18r18	0.17153265785579003	0.3757994449137203	0.2695615419782798	16574	12457	15625	96623	33148	57964.5	523	516
2020-09-10 12:21:10	2020-09-10	DIC09D11I02	EPPN20_T	Line	18	19	2	c19r18	0.16194985345246996	0.6398049104916034	0.42796451755429427	6824	5772	6296	42136.5	9021.5	14711.5	300	281
2020-09-10 12:21:49	2020-09-10	DIC09D11F02	EPPN2_H	Hybrid	18	20	2	c20r18	0.2283508602633974	0.18115260612573886	0.3115396350765851	10412	10788	12763	45596.5	59552	40967.5	335	313
2020-09-10 12:23:04	2020-09-10	DIC09D11H02	EPPN4_H	Hybrid	18	22	2	c22r18	0.12587288861858292	0.2900504844627011	0.23834391823499376	11383	9250	13304	90432.5	31891	55818.5	432	412
2020-09-10 12:23:47	2020-09-10	DIC09D11B02	EPPN2_L	Line	18	23	2	c23r18	0.3742981399432387	0.1768708864873649	0.48232693528265963	9166	8707	11019	24488.5	49228	22845.5	304	275
2020-09-10 12:25:44	2020-09-10	DIC09D11E02	EPPN1_H	Hybrid	18	26	2	c26r18	0.1328028066572541	0.6803407493176743	0.608086712946048	10864	8226	9986	81805.5	12091	16422	369	382
2020-09-14 09:11:06	2020-09-14	DIC09D11G09	EPPN3_H	Hybrid	14	1	9	c1r14	0.11848717115756634	0.14098091975748595	0.3426323476524943	20243	22451	23342	170845.5	159248.5	68125.5	539	568
2020-09-14 09:11:22	2020-09-14	DIC09D11F09	EPPN2_H	Hybrid	14	2	9	c2r14	0.1063718938185372	0.3326285482927707	0.3165458991553775	29605	36970	42200	278316	111145	133314	490	495
2020-09-14 09:12:53	2020-09-14	DIC09D11C09	EPPN3_L	Line	14	5	9	c5r14	0.1288289248272527	0.39188304014586217	0.5838305518393015	31434	29016	29893	243998	74042.5	51201.5	741	722
2020-09-14 09:13:31	2020-09-14	DIC09D11D09	EPPN4_L	Line	14	6	9	c6r14	0.15858154933111981	0.5664412133975942	0.5091826333339092	8215	6993	14736	51803	12345.5	28940.5	175	198
2020-09-14 09:14:09	2020-09-14	DIC09D11H09	EPPN4_H	Hybrid	14	7	9	c7r14	0.0742201378526256	0.2685974603782823	0.22296021321685583	22979	25235	39611	309606	93951	177659.5	549	550
2020-09-14 09:14:47	2020-09-14	DIC09D11E09	EPPN1_H	Hybrid	14	8	9	c8r14	0.10250517272989183	0.4971785706256604	0.3898159539595908	31310	22115	47211	305448	44481	121111	500	536
2020-09-14 09:15:25	2020-09-14	DIC09D11I09	EPPN20_T	Line	14	9	9	c9r14	0.216780621376199	0.1535150817628159	0.32628091411875193	13142	12805	12507	60623.5	83412	38332	352	385
2020-09-14 09:16:04	2020-09-14	DIC09D11B09	EPPN2_L	Line	14	10	9	c10r14	0.14401406821231894	0.28447374633258016	0.2857392511115109	18672	16871	27796	129654	59306	97277.5	356	364
2020-09-14 09:17:59	2020-09-14	DIC09D11A09	EPPN1_L	Line	14	13	9	c13r14	0.09345859002942873	0.4987451559328289	0.5924624991515646	29741	27027	34915	318226.5	54190	58932	574	545
