Date and Time,Type:,Fixture ID:,Measurement:
28/06/2021 11.52.44,Height (mm)                   ,74,"575,00"
28/06/2021 11.51.20,Height (mm)                   ,65,"559,00"
28/06/2021 11.50.03,Height (mm)                   ,56,"432,00"
28/06/2021 11.48.47,Height (mm)                   ,47,"606,00"
28/06/2021 11.47.28,Height (mm)                   ,38,"409,00"
28/06/2021 11.46.12,Height (mm)                   ,29,"605,00"
28/06/2021 11.44.56,Height (mm)                   ,20,"374,00"
28/06/2021 11.42.42,Height (mm)                   ,11,"606,00"
28/06/2021 11.41.25,Height (mm)                   ,2,"561,00"
28/06/2021 11.38.13,Height (mm)                   ,111,"380,00"
28/06/2021 11.36.26,Height (mm)                   ,102,"604,00"
28/06/2021 11.34.44,Height (mm)                   ,93,"365,00"
28/06/2021 11.33.06,Height (mm)                   ,84,"490,00"
28/06/2021 11.31.36,Height (mm)                   ,75,"606,00"
28/06/2021 11.30.12,Height (mm)                   ,66,"606,00"
28/06/2021 11.29.07,Height (mm)                   ,57,"594,00"
28/06/2021 11.27.45,Height (mm)                   ,48,"605,00"
28/06/2021 11.26.21,Height (mm)                   ,39,"603,00"
28/06/2021 11.25.05,Height (mm)                   ,30,"604,00"
28/06/2021 11.23.48,Height (mm)                   ,21,"520,00"
28/06/2021 11.21.34,Height (mm)                   ,12,"606,00"
28/06/2021 11.20.17,Height (mm)                   ,3,"572,00"
28/06/2021 11.17.07,Height (mm)                   ,112,"435,00"
28/06/2021 11.15.17,Height (mm)                   ,103,"606,00"
28/06/2021 11.13.36,Height (mm)                   ,94,"560,00"
28/06/2021 11.11.56,Height (mm)                   ,85,"500,00"
28/06/2021 11.10.27,Height (mm)                   ,76,"602,00"
28/06/2021 11.09.02,Height (mm)                   ,67,"604,00"
28/06/2021 11.07.46,Height (mm)                   ,58,"596,00"
28/06/2021 11.06.27,Height (mm)                   ,49,"604,00"
28/06/2021 11.05.12,Height (mm)                   ,40,"606,00"
28/06/2021 11.04.02,Height (mm)                   ,31,"604,00"
28/06/2021 11.02.38,Height (mm)                   ,22,"498,00"
28/06/2021 11.00.20,Height (mm)                   ,13,"593,00"
28/06/2021 10.59.00,Height (mm)                   ,4,"389,00"
28/06/2021 10.55.57,Height (mm)                   ,113,"462,00"
28/06/2021 10.54.10,Height (mm)                   ,104,"504,00"
28/06/2021 10.52.25,Height (mm)                   ,95,"607,00"
28/06/2021 10.50.49,Height (mm)                   ,86,"368,00"
28/06/2021 10.49.20,Height (mm)                   ,77,"606,00"
28/06/2021 10.47.52,Height (mm)                   ,68,"456,00"
28/06/2021 10.46.34,Height (mm)                   ,59,"489,00"
28/06/2021 10.45.28,Height (mm)                   ,50,"595,00"
28/06/2021 10.44.05,Height (mm)                   ,41,"607,00"
28/06/2021 10.42.54,Height (mm)                   ,32,"606,00"
28/06/2021 10.41.30,Height (mm)                   ,23,"383,00"
28/06/2021 10.39.10,Height (mm)                   ,14,"604,00"
28/06/2021 10.37.53,Height (mm)                   ,5,"587,00"
28/06/2021 10.34.49,Height (mm)                   ,114,"386,00"
28/06/2021 10.33.01,Height (mm)                   ,105,"605,00"
28/06/2021 10.31.16,Height (mm)                   ,96,"604,00"
28/06/2021 10.29.41,Height (mm)                   ,87,"604,00"
28/06/2021 10.28.11,Height (mm)                   ,78,"607,00"
28/06/2021 10.26.43,Height (mm)                   ,69,"519,00"
28/06/2021 10.25.35,Height (mm)                   ,60,"584,00"
28/06/2021 10.24.11,Height (mm)                   ,51,"40,00"
28/06/2021 10.23.05,Height (mm)                   ,42,"498,00"
28/06/2021 10.21.45,Height (mm)                   ,33,"606,00"
28/06/2021 10.20.21,Height (mm)                   ,24,"491,00"
28/06/2021 10.18.09,Height (mm)                   ,15,"391,00"
28/06/2021 10.16.51,Height (mm)                   ,6,"494,00"
28/06/2021 10.13.40,Height (mm)                   ,115,"511,00"
28/06/2021 10.11.52,Height (mm)                   ,106,"605,00"
28/06/2021 10.10.08,Height (mm)                   ,97,"459,00"
28/06/2021 10.08.48,Height (mm)                   ,88,"606,00"
28/06/2021 10.07.25,Height (mm)                   ,79,"499,00"
28/06/2021 10.06.11,Height (mm)                   ,70,"475,00"
28/06/2021 10.04.54,Height (mm)                   ,61,"602,00"
28/06/2021 10.03.19,Height (mm)                   ,52,"545,00"
28/06/2021 10.01.55,Height (mm)                   ,43,"604,00"
28/06/2021 10.00.36,Height (mm)                   ,34,"607,00"
