Source Name,Characteristic[Organism],Characteristics[Genus],Characteristics[Species],Characteristics[Infraspecific Name],Characteristics[Biological Material Latitude],Characteristics[Biological Material Longitude],Characteristics[Biological Material Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Preprocessing],Characteristics[Material Source ID],Characteristics[Material Source Latitude],Characteristics[Material Source Longitude],Characteristics[Material Source Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Description],Protocol REF,Parameter Value[Container type],Parameter Value[Container volume],Parameter Value[Number of plants per container],Parameter Value[Rooting medium type],Parameter Value[Rooting medium composition],Parameter Value[Rooting medium pH],Parameter Value[Irrigation type],Sample Name,Characteristics[Observation Unit Type],Characteristics[External ID],Characteristics[Spatial Distribution],Factor Value[WaterTreatment]
EPPN5_L,NCBITAXON:4577,Zea,mays,PHG83,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0035/ZM4529/EPPN5_L/WD1/EPPN_Rep_3/01_35/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0035zm4529eppn5_lwd1eppn_rep_301_35arch2020-02-03,row=1; column=35; rep=3,WD1
EPPN13_L,NCBITAXON:4577,Zea,mays,A347,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0036/ZM4537/EPPN13_L/WD1/EPPN_Rep_3/01_36/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0036zm4537eppn13_lwd1eppn_rep_301_36arch2020-02-03,row=1; column=36; rep=3,WD1
EPPN1_L,NCBITAXON:4577,Zea,mays,B73,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0037/ZM4525/EPPN1_L/WD1/EPPN_Rep_3/01_37/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0037zm4525eppn1_lwd1eppn_rep_301_37arch2020-02-03,row=1; column=37; rep=3,WD1
EPPN7_L,NCBITAXON:4577,Zea,mays,B107,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0038/ZM4531/EPPN7_L/WD1/EPPN_Rep_3/01_38/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0038zm4531eppn7_lwd1eppn_rep_301_38arch2020-02-03,row=1; column=38; rep=3,WD1
EPPN12_L,NCBITAXON:4577,Zea,mays,Oh43,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0039/ZM4536/EPPN12_L/WD1/EPPN_Rep_3/01_39/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0039zm4536eppn12_lwd1eppn_rep_301_39arch2020-02-03,row=1; column=39; rep=3,WD1
EPPN11_L,NCBITAXON:4577,Zea,mays,Lo904,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0040/ZM4535/EPPN11_L/WD1/EPPN_Rep_3/01_40/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0040zm4535eppn11_lwd1eppn_rep_301_40arch2020-02-03,row=1; column=40; rep=3,WD1
EPPN10_L,NCBITAXON:4577,Zea,mays,FP1,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0041/ZM4534/EPPN10_L/WD1/EPPN_Rep_3/01_41/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0041zm4534eppn10_lwd1eppn_rep_301_41arch2020-02-03,row=1; column=41; rep=3,WD1
EPPN2_L,NCBITAXON:4577,Zea,mays,N22,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0042/ZM4526/EPPN2_L/WD1/EPPN_Rep_3/01_42/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0042zm4526eppn2_lwd1eppn_rep_301_42arch2020-02-03,row=1; column=42; rep=3,WD1
EPPN4_L,NCBITAXON:4577,Zea,mays,UH_P148,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0043/ZM4528/EPPN4_L/WD1/EPPN_Rep_3/01_43/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0043zm4528eppn4_lwd1eppn_rep_301_43arch2020-02-03,row=1; column=43; rep=3,WD1
EPPN8_L,NCBITAXON:4577,Zea,mays,DKFAPW,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0044/ZM4532/EPPN8_L/WD1/EPPN_Rep_3/01_44/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0044zm4532eppn8_lwd1eppn_rep_301_44arch2020-02-03,row=1; column=44; rep=3,WD1
