date	sample_Name	trait	Scale_name	raw_value	OutLier	Corrected_Value
2019-12-05	PLAT015_U4L15R12_166_RT_5171_1pl_EPPN2020_4L_Prel04	Visible_Leaf_number	Unitless	3	NA	NA
2019-12-05	PLAT015_U4L15R13_167_RT_6172_1pl_EPPN2020_11H_Prel04	Visible_Leaf_number	Unitless	5	NA	NA
2019-12-05	PLAT015_U4L15R14_168_RT_5965_1pl_EPPN2020_7H_Prel04	Visible_Leaf_number	Unitless	4	NA	NA
2019-12-05	PLAT015_U4L15R15_169_RT_5480_1pl_EPPN2020_14H_Prel04	Visible_Leaf_number	Unitless	4	NA	NA
2019-12-05	PLAT015_U4L15R16_170_RT_5379_1pl_EPPN2020_12L_Prel04	Visible_Leaf_number	Unitless	4	NA	NA
2019-12-05	PLAT015_U4L15R17_171_RT_6089_1pl_EPPN2020_6L_Prel04	Visible_Leaf_number	Unitless	5	NA	NA
2019-12-05	PLAT015_U4L15R18_172_RT_6121_1pl_EPPN2020_12H_Prel04	Visible_Leaf_number	Unitless	4	NA	NA
2019-12-05	PLAT015_U4L15R19_173_RT_5164_1pl_EPPN2020_6H_Prel04	Visible_Leaf_number	Unitless	4	NA	NA
2019-12-05	PLAT015_U4L15R20_174_RT_5984_1pl_EPPN2020_23T_Prel04	Visible_Leaf_number	Unitless	5	NA	NA
2019-12-05	PLAT015_U4L15R21_175_RT_6176_1pl_EPPN2020_10L_Prel04	Visible_Leaf_number	Unitless	4	NA	NA
2019-12-05	PLAT015_U4L15R22_176_RT_5933_1pl_EPPN2020_9H_Prel04	Visible_Leaf_number	Unitless	5	NA	NA
