Unit.ID	Timestamp	Date	Time	S_Height_cm	S_Height_pixel	S_Area_cmsquared	S_Area_pixel	S_Perimeter_cm	S_Perimeter_pixel	S_Convex_hull_area_cmsquared	S_Solidity	S_Compactness	S_Width_cm	S_Width_pixel	S_Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
49	2021-06-14 18:36:48.233	2021-06-14	18:36:48.233	1.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	S2	1	1	5	UCPH
40	2021-06-14 18:34:00.83	2021-06-14	18:34:00.83	2.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN_T	S1	2	4	4	UCPH
31	2021-06-14 18:31:11.897	2021-06-14	18:31:11.897	3.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	S1	4	7	3	UCPH
22	2021-06-14 18:28:24.71	2021-06-14	18:28:24.71	2.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	S2	5	10	2	UCPH
13	2021-06-14 18:25:39.93	2021-06-14	18:25:39.93	2.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	S2	1	1	2	UCPH
4	2021-06-14 18:23:39.917	2021-06-14	18:23:39.917	1.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	S1	2	4	1	UCPH
104	2021-06-14 18:17:21.103	2021-06-14	18:17:21.103	2.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	S2	4	8	9	UCPH
95	2021-06-14 18:14:33.807	2021-06-14	18:14:33.807	2.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	S2	6	11	8	UCPH
86	2021-06-14 18:11:47.057	2021-06-14	18:11:47.057	1.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	S1	1	2	8	UCPH
77	2021-06-14 18:08:44.91	2021-06-14	18:08:44.91	2.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	S2	3	5	7	UCPH
68	2021-06-14 18:06:00.24	2021-06-14	18:06:00.24	1.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	S2	4	8	6	UCPH
59	2021-06-14 18:03:09.67	2021-06-14	18:03:09.67	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	S2	6	11	5	UCPH
50	2021-06-14 18:00:23.903	2021-06-14	18:00:23.903	2.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	S1	1	2	5	UCPH
41	2021-06-14 17:57:36.827	2021-06-14	17:57:36.827	2.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	S2	3	5	4	UCPH
32	2021-06-14 17:54:47.677	2021-06-14	17:54:47.677	2.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	S2	4	8	3	UCPH
