image_id	face	date	type	decile1	decile2	decile3	decile4	decile5	decile6	decile7	decile8	decile9	decile10
ZM009-02713	C	26/04/2021	vertical	1366	30649	63610	72546	73753	94040	80762	81406	80141	97916
ZM009-02713	D	19/03/2021	vertical	542	3068	323	274	13	9	7	98	198	319
ZM009-02713	D	26/03/2021	vertical	1441	8689	6041	4091	3104	445	253	359	700	1220
ZM009-02713	D	02/04/2021	vertical	2922	40798	49136	47363	41150	35599	18577	16751	12859	5943
ZM009-02713	D	09/04/2021	vertical	4593	44911	67940	59640	60544	60315	47591	37507	40876	29819
ZM009-02713	D	16/04/2021	vertical	2622	46717	71153	68535	82578	89306	81508	73607	78391	83647
ZM009-02713	D	26/04/2021	vertical	2613	39259	75096	80144	93114	97355	95827	85264	92211	98170
ZM009-02714	A	19/03/2021	vertical	8435	1762	1683	537	792	228	122	23	421	26
ZM009-02714	A	26/03/2021	vertical	27534	27813	13803	9295	8439	6950	4610	2227	1265	2193
ZM009-02714	A	02/04/2021	vertical	44394	54051	29913	19549	23983	19021	17998	15328	18029	4790
ZM009-02714	A	09/04/2021	vertical	33490	40253	29124	19698	28980	35910	28155	19018	27726	19337
ZM009-02714	A	16/04/2021	vertical	26796	30404	28223	29308	46130	57595	58649	53930	76619	62287
ZM009-02714	A	26/04/2021	vertical	25517	31229	31890	33009	51152	60085	63530	62067	85652	72083
ZM009-02714	B	19/03/2021	vertical	270	17	879	826	27	97	27	18	418	87
ZM009-02714	B	26/03/2021	vertical	616	24214	15824	5365	1301	1725	180	143	792	1572
ZM009-02714	B	02/04/2021	vertical	3200	58296	57296	26006	11667	7072	4031	5514	15791	16915
ZM009-02714	B	09/04/2021	vertical	3839	56297	71130	35178	21680	26641	25029	15665	28972	28234
ZM009-02714	B	16/04/2021	vertical	3819	52468	80526	51592	44301	49823	63889	45505	81731	95889
ZM009-02714	B	26/04/2021	vertical	4383	50586	88402	55938	48604	55545	71835	55400	88511	98659
ZM009-02714	C	19/03/2021	vertical	34	10	22	4	0	0	5	0	152	9
ZM009-02714	C	26/03/2021	vertical	164	6414	5688	5577	603	141	81	228	454	1683
ZM009-02714	C	02/04/2021	vertical	2410	40358	51509	57167	31106	18830	12987	14451	8569	2695
ZM009-02714	C	09/04/2021	vertical	3689	50438	76207	80687	57241	47074	51890	45504	46315	37997
ZM009-02714	C	16/04/2021	vertical	2355	45120	77488	103712	79279	72459	88673	88258	89071	97987
ZM009-02714	C	26/04/2021	vertical	1817	30891	79634	111408	78580	70809	91882	89444	89631	96791
ZM009-02714	D	19/03/2021	vertical	246	1329	1105	659	0	0	0	7	160	23
ZM009-02714	D	26/03/2021	vertical	2242	17492	15865	16926	3146	379	172	243	1212	3529
