Unit.ID	Timestamp	Date	Time	S_Height_cm	S_Height_pixel	S_Area_cmsquared	S_Area_pixel	S_Perimeter_cm	S_Perimeter_pixel	S_Convex_hull_area_cmsquared	S_Solidity	S_Compactness	S_Width_cm	S_Width_pixel	S_Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
5	2020-03-01 22:13:35	2020-03-01	22:13:35	2.68376068376068	628	0.32053397138812	18373	10.9531090388472	2622.34855532185	NA	NA	0.114840709715718	2.3065256821	565	NA	EPPN4_H	S2	1	1	5	SPPU
6	2020-03-01 22:16:25	2020-03-01	22:16:25	3.14529914529915	736	0.518353309632821	29712	14.7998358856998	3543.31615947744	NA	NA	0.187789154342055	3.09850087206	759	NA	EPPN3_L	S2	1	1	6	SPPU
7	2020-03-01 22:19:14	2020-03-01	22:19:14	2.55769230769231	598.5	0.13888700518265	7961	8.90315762586889	2131.55757467538	NA	NA	0.10582811985512	2.41266668694	591	NA	EPPN4_L	S2	1	1	7	SPPU
8	2020-03-01 22:22:03	2020-03-01	22:22:03	3.11324786324786	728.5	0.326046883539573	18689	13.424911733313	3214.13744392726	NA	NA	0.225358324145535	2.55963115518	627	NA	EPPN2_L	S2	1	1	8	SPPU
9	2020-03-01 22:24:55	2020-03-01	22:24:55	1.38461538461538	324	0.148464817749573	8510	7.64297158593237	1829.84898859779	NA	NA	0.150159616919393	2.23712579432	548	NA	EPPN1_H	S2	1	1	9	SPPU
10	2020-03-01 22:27:29	2020-03-01	22:27:29	4.85470085470086	1136	0.615579447038034	35285	20.0810058343288	4807.71226254535	NA	NA	0.146921049453913	3.76800567182	923	NA	EPPN3_H	S1	1	1	10	SPPU
11	2020-03-01 22:30:20	2020-03-01	22:30:20	3.01495726495726	705.5	0.390788709470086	22400	13.3851106857503	3204.60843995166	NA	NA	0.126847396196843	3.25363003298	797	NA	EPPN1_L	S1	1	1	11	SPPU
12	2020-03-01 22:33:00	2020-03-01	22:33:00	3.08119658119658	721	0.28979425236641	16611	12.0054247629859	2874.28968081877	NA	NA	0.163595924378588	2.13914948216	524	NA	EPPN1_H	S1	1	1	12	SPPU
13	2020-03-01 22:35:50	2020-03-01	22:35:50	2.11538461538462	495	0.150157072428974	8607	6.43152881525435	1539.81031663027	NA	NA	0.297634691195795	1.60436211162	393	NA	EPPN4_H	S1	1	1	13	SPPU
14	2020-03-01 22:38:30	2020-03-01	22:38:30	2.89102564102564	676.5	0.39602248682906	22700	14.761425908949	3534.12019998454	NA	NA	0.193788970615689	3.1842301452	780	NA	EPPN2_L	S1	1	1	14	SPPU
15	2020-03-01 22:41:20	2020-03-01	22:41:20	2.24786324786325	526	0.27761699704453	15913	11.6295819190927	2784.30692476151	NA	NA	0.166780208147737	2.76374847218	677	NA	EPPN4_L	S1	1	1	15	SPPU
