Unit.ID	Timestamp	Time	Date	T_Area_cm_squared	T_Area_pixel	T_Perimeter_cm	T_Perimeter_pixel	T_Convex_hull_area_cmsquared	T_Solidity	T_Compactness	T_Roundness	T_Roundness2	T_Isotropy	T_Eccentricity	T_Rms	T_Sol	Genotype	Soil	Replication	Row	Column	Platform
51	2020-03-05 00:19:17	00:19:17	2020-03-05	9.49587856227067	455104	40.6602887412723	8794.30345855454	NA	NA	0.27045687258093	0.0777019572165859	0.733467458877988	0.227366550227978	0.74109750868056	0.941792877333706	41.1701620548233	EPPN1_H	S1	3	3	15	SPPU
53	2020-03-05 00:24:44	00:24:44	2020-03-05	1.52342957609511	102357	20.4876301846929	5025.60879888915	NA	NA	0.382685908700041	0.0687504151767526	0.694580669699962	0.200464878380419	1.83524541245459	0.967124332496961	45.6016733769861	EPPN_T	S1	3	3	17	SPPU
55	2020-03-05 00:30:21	00:30:21	2020-03-05	6.34295001586652	335197	40.5323857615192	9317.65410591763	NA	NA	0.256641685464539	0.0595563852239741	0.734491156374371	0.516768081909483	0.535514821600201	0.790786496168247	48.5984248948624	EPPN4_H	S1	4	4	1	SPPU
57	2020-03-05 00:35:50	00:35:50	2020-03-05	2.23010386108061	161049	18.0983386708194	4863.57012692155	NA	NA	0.340274799225001	0.0855573908676571	0.493215374035716	0.221184736286662	1.46145026552797	0.983232758982265	48.7491139143256	EPPN1_L	S1	4	4	3	SPPU
59	2020-03-05 00:41:30	00:41:30	2020-03-05	5.00944163114727	293501	29.6955152469358	7187.882968869	NA	NA	0.588849098258277	0.103566798994075	0.747179155504925	0.207498383509805	1.50173120052406	0.909710356528162	34.7937816624477	EPPN4_L	S1	4	4	5	SPPU
61	2020-03-05 00:47:12	00:47:12	2020-03-05	10.9049174337251	528728	41.0017118317079	9028.32019488316	NA	NA	0.376275876871893	0.0815132609872463	0.488052721484831	0.234905995983111	2.04926694690478	0.984471126242989	39.3052614124778	EPPN3_L	S1	4	4	7	SPPU
63	2020-03-05 00:52:50	00:52:50	2020-03-05	4.66473936761531	313417	27.8247611716739	6873.2769798959	NA	NA	0.352805234832393	0.0833690249688522	0.636839120418865	0.297926510145732	1.1257177753225	0.967452482288355	46.558913652769	EPPN1_H	S1	NA	4	9 rep	SPPU
65	2020-03-05 00:58:28	00:58:28	2020-03-05	8.94103329629935	490830	40.9222336965194	9120.64068711951	NA	NA	0.301390807773787	0.0806519673414352	0.708044524987416	0.330399445941929	0.666250033436259	0.785125679029215	50.4469180954392	EPPN1_H	S2	4	4	11	SPPU
67	2020-03-05 01:03:53	01:03:53	2020-03-05	5.61252357399284	308107	32.0643904966157	7512.67640049415	NA	NA	0.429378364861287	0.0709165730185987	0.442579049253255	0.158208018466283	1.96195443383247	0.991165899600312	41.5900041558297	EPPN1_L	S2	4	4	13	SPPU
69	2020-03-05 01:09:30	01:09:30	2020-03-05	5.01660376644538	282588	35.1888958739049	8351.75216000244	NA	NA	0.220024136722856	0.0909469617508767	0.691691658046049	0.561979317047859	0.835338659691264	0.963546929478805	43.7277284608606	EPPN_T	S2	4	4	15	SPPU
71	2020-03-05 01:14:56	01:14:56	2020-03-05	5.8964639603543	332151	37.1977979533455	8828.54609924176	NA	NA	0.334298546070521	0.0767269544009371	0.726308290003034	0.406219294479835	0.872047392469974	0.840991169605852	43.5824537544788	EPPN2_L	S2	4	4	17	SPPU
73	2020-03-05 01:20:29	01:20:29	2020-03-05	6.76130652585832	396142	33.5018423471041	8109.21514680006	NA	NA	0.32062593532962	0.0757012599941768	0.757658745484948	0.595166581863292	0.70357645124277	0.872896789140902	47.2740006206155	EPPN_T	S1	5	5	1	SPPU
75	2020-03-05 01:26:08	01:26:08	2020-03-05	6.32795329550825	326153	32.294700266895	7331.795016052	NA	NA	0.545642181561036	0.093221717739638	0.578434023421917	0.314721658854507	1.88971730812679	0.973895330053544	36.1667472227578	EPPN2_H	S1	5	5	3	SPPU
77	2020-03-05 01:31:29	01:31:29	2020-03-05	6.80482786721843	329934	30.9483743558348	7327.73614154898	NA	NA	0.303378750654398	0.0892794127411574	0.708196995099425	0.525169613521795	0.786312965127107	0.971825968477576	35.2125226380359	EPPN1_L	S1	5	5	5	SPPU
79	2020-03-05 01:36:51	01:36:51	2020-03-05	3.32727601846553	247503	20.0616946971499	5471.58859635369	NA	NA	0.34289834953595	0.103887539381647	0.599768314050383	0.426501879914255	1.3159267814806	0.974992163320201	29.0842237921931	EPPN2_L	S1	5	5	7	SPPU
81	2020-03-05 01:42:21	01:42:21	2020-03-05	5.69418377942511	342630	33.72283460399	8272.19999489833	NA	NA	0.361309903208195	0.064195591711409	0.784948974354096	0.300488626460211	0.992848995761229	0.937494584294788	44.5525382176692	EPPN3_L	S1	5	5	9	SPPU
83	2020-03-05 01:47:54	01:47:54	2020-03-05	4.35479580427755	245308	28.2944917491002	6715.4304422765	NA	NA	0.334192970051674	0.068355563137709	0.444152396180153	0.245493012137507	1.54603540536806	0.98541219554569	45.1595873652693	EPPN4_H	S2	5	5	11	SPPU
85	2020-03-05 01:53:33	01:53:33	2020-03-05	5.82667536874691	282508	29.4577409753224	6991.5166619901	NA	NA	0.301464060099027	0.0896439508835558	0.631961515859288	0.390812787414416	0.945390892627034	0.982568969761509	39.7604961310076	EPPN3_L	S2	5	5	13	SPPU
87	2020-03-05 01:59:09	01:59:09	2020-03-05	5.98157044929644	279819	34.1280850044456	7381.47084734765	NA	NA	0.258142414227097	0.0645358814979006	0.788200478552552	0.368484936834556	1.17125427568116	0.905011999356165	41.8206098384796	EPPN3_H	S2	5	5	15	SPPU
89	2020-03-05 02:04:36	02:04:36	2020-03-05	5.13415989105577	289210	30.3245068143493	7197.23534933539	NA	NA	0.264815706727661	0.0701603522525316	0.790932318000847	0.284189802362192	0.500280675996535	0.757926810285817	44.4147247155439	EPPN2_H	S2	5	5	17	SPPU
91	2020-03-05 02:10:00	02:10:00	2020-03-05	4.7793323910727	280019	33.3993010503127	7927.00872710181	NA	NA	0.303233659251302	0.0704388337483669	0.690145695178219	0.399607612746716	0.694235606742672	0.821006136338454	49.6325977478503	EPPN1_H	S2	6	6	1	SPPU
93	2020-03-05 02:15:38	02:15:38	2020-03-05	5.11096319589393	320296	35.4958534215449	8591.871134498	NA	NA	0.30484087260005	0.0971430271533985	0.58027631674354	0.348116985240855	1.00966879220444	0.97089657645767	41.3088134290496	EPPN_T	S2	6	6	3	SPPU
95	2020-03-05 02:21:04	02:21:04	2020-03-05	8.35207664556973	381631	39.6764434600518	8481.20035383604	NA	NA	0.261930205663026	0.0666712908516076	0.740060512860907	0.343130969795334	0.573458630320939	0.858358280912109	36.9791453129174	EPPN3_H	S2	6	6	5	SPPU
97	2020-03-05 02:26:15	02:26:15	2020-03-05	7.05292397638912	372716	43.6491860757908	10034.1494885598	NA	NA	0.37375537112847	0.0824491728217675	0.678729498300068	0.407639423298512	0.763356023350311	0.931964465467448	49.2789303205534	EPPN2_L	S2	6	6	7	SPPU
99	2020-03-05 02:31:40	02:31:40	2020-03-05	5.63104590411458	297576	29.4472338622525	6769.38044355199	NA	NA	0.362159624100462	0.0816037132143004	0.505378119067393	0.414481747211779	1.45048054679905	0.982079183454647	35.6098249065004	EPPN3_L	S2	6	6	9	SPPU
101	2020-03-05 02:37:08	02:37:08	2020-03-05	6.61124031355368	414316	34.9916627487206	8759.69451098856	NA	NA	0.343154648021243	0.0678521553609448	0.658217413279748	0.352581825374678	0.984972764644844	0.941566771844504	47.0896083637637	EPPN4_H	S1	6	6	11	SPPU
103	2020-03-05 02:42:37	02:42:37	2020-03-05	6.76786713208857	357652	36.1683576293683	8314.44386107484	NA	NA	0.334056386900074	0.0875260593837996	0.748167065033863	0.368203831213748	0.696094211904276	0.898128932171594	36.687818343431	EPPN3_H	S1	6	6	13	SPPU
105	2020-03-05 02:48:09	02:48:09	2020-03-05	2.22655549844419	154163	18.684128193913	4843.06637611544	NA	NA	0.413247773529867	0.0859250594618525	0.634011362850727	0.240134525444524	1.39898350432475	0.972121188764972	34.9690772659795	EPPN2_L	S1	6	6	15	SPPU
107	2020-03-05 02:53:40	02:53:40	2020-03-05	5.31181810017388	257545	30.331544139856	6678.81608513916	NA	NA	0.388140143028571	0.0830205206644301	0.612450535722313	0.337527300755704	1.501874838404	0.965954024950507	37.447207822833	EPPN3_L	S1	6	6	17	SPPU
1	2020-03-06 22:01:13	22:01:13	2020-03-06	2.84288312066734	178159	31.454304784426	7874.16428152366	NA	NA	0.140480057171649	0.0361084368132606	0.706657993123916	0.409449881043535	0.958488297666458	0.84206698061914	67.6235057916056	EPPN1_L	S2	1	1	1	SPPU
3	2020-03-06 22:06:40	22:06:40	2020-03-06	2.88342699182163	162425	26.5189137812727	6294.01377773565	NA	NA	0.155563558141072	0.051523737736732	0.693052082416213	0.554801828770156	0.484034096948654	0.835769393644995	73.9884133855762	EPPN2_H	S2	1	1	3	SPPU
5	2020-03-06 22:12:11	22:12:11	2020-03-06	1.43030356754047	96100	21.7724409015228	5643.58022818951	NA	NA	0.182360207902023	0.0460200547810114	0.644702420114445	0.279432673762161	0.612049436778992	0.840939381038295	61.7306945749433	EPPN4_H	S2	1	1	5	SPPU
7	2020-03-06 22:17:42	22:17:42	2020-03-06	1.9723820311039	127061	16.1862356467592	4549.74675043072	NA	NA	0.154076638447402	0.0946039312566592	0.633747518250677	0.287520534462113	0.847458905710312	0.881509621926038	44.4043398456628	EPPN4_L	S2	1	1	7	SPPU
9	2020-03-06 22:23:19	22:23:19	2020-03-06	1.40059818258296	104185	20.2252281530938	5516.19040124468	NA	NA	0.407034663627054	0.0566794501155624	0.753303427635721	0.435900612673811	1.6332628287912	0.882251923683282	54.3191820766951	EPPN1_H	S2	1	1	9	SPPU
11	2020-03-06 22:28:57	22:28:57	2020-03-06	3.67023760134741	230008	31.4984320930161	7885.21096271791	NA	NA	0.21011905426953	0.0464864274828424	0.67469655388228	0.531573128219622	0.507882052103511	0.793285644299902	59.5407872670036	EPPN1_L	S1	1	1	11	SPPU
13	2020-03-06 22:34:34	22:34:34	2020-03-06	1.69592801059383	122473	23.2536198343835	6248.94985259871	NA	NA	0.147156254318036	0.0436318682759469	0.737319030167826	0.458698928076498	0.543067260496606	0.840276051918224	59.914310374418	EPPN4_H	S1	1	1	13	SPPU
15	2020-03-06 22:39:54	22:39:54	2020-03-06	1.71604822810621	123926	20.8233823085589	5595.87164211181	NA	NA	0.205812356447351	0.0520163111707711	0.761300529542482	0.603240248489701	0.761899260605138	0.776435084833266	47.2530928951576	EPPN4_L	S1	1	1	15	SPPU
17	2020-03-06 22:45:29	22:45:29	2020-03-06	2.40061793572188	161294	27.1825290839381	7045.9157236509	NA	NA	0.200874515386215	0.0408275376320897	0.613203628015627	0.20754595362233	0.697881143417911	0.912361193565271	90.7758536404044	EPPN2_H	S1	1	1	17	SPPU
19	2020-03-06 22:51:07	22:51:07	2020-03-06	5.61336708340445	316204	32.823428452513	7790.33080376501	NA	NA	0.379221969170915	0.0912832686589251	0.630147921505276	0.285702574432788	1.47710411862103	0.986773945554862	39.562231354159	EPPN1_L	S1	2	2	1	SPPU
21	2020-03-06 22:56:25	22:56:25	2020-03-06	4.82766895298331	324364	35.5802930278908	8077.71593901343	NA	NA	0.440989372390512	0.0739390665126378	0.56564485152612	0.35799413931846	1.2115613389511	0.960708324835897	51.4211595682051	EPPN_T	S1	2	2	3	SPPU
23	2020-03-06 23:01:45	23:01:45	2020-03-06	9.45723222890645	532731	41.4280415294249	9832.55446740592	NA	NA	0.262301014627834	0.0692444725862152	0.75497878114425	0.248532271392636	0.622850921406617	0.913371168864253	49.5262176827168	EPPN2_H	S1	2	2	5	SPPU
25	2020-03-06 23:07:07	23:07:07	2020-03-06	9.13016820219304	427111	28.2894636937473	6168.6209921981	NA	NA	0.332669724563416	0.143363704300535	0.764830470829849	0.258822994854459	0.72317166796463	0.848347360618808	41.8166677833257	EPPN3_H	S1	2	2	7	SPPU
27	2020-03-06 23:12:35	23:12:35	2020-03-06	6.59107697872341	361826	32.4131639092977	7845.6974695814	NA	NA	0.216230720364685	0.0869763309532877	0.720367140732539	0.332348865456892	0.528110741902245	0.916498300269071	37.2044270185319	EPPN4_L	S1	2	2	9	SPPU
29	2020-03-06 23:18:06	23:18:06	2020-03-06	8.77342254745389	514031	40.1908942499304	9728.31896939385	NA	NA	0.292174293623141	0.0821562324276498	0.722509427184074	0.305141825666505	1.5130945035565	0.979662350329912	43.1088869581156	EPPN4_L	S2	2	2	11	SPPU
31	2020-03-06 23:23:40	23:23:40	2020-03-06	12.4509979579042	618495	50.5014157920645	11255.6238021147	NA	NA	0.261992645050691	0.0964377716994539	0.737338647214523	0.380353801880927	0.624143740986355	0.941882636029051	48.4314097881523	EPPN1_H	S2	2	2	13	SPPU
33	2020-03-06 23:28:59	23:28:59	2020-03-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	S2	2	2	15	SPPU
35	2020-03-06 23:34:27	23:34:27	2020-03-06	8.43945158406986	463295	49.3946771069655	11573.1569901725	NA	NA	0.294582559990132	0.10068045812532	0.682931361511017	0.339849449298414	0.77397891090719	0.970799758067523	51.5096921384308	EPPN3_L	S2	2	2	17	SPPU
37	2020-03-06 23:40:05	23:40:05	2020-03-06	4.48020842979138	209585	36.0399678233721	7794.98679146268	NA	NA	0.173914877992507	0.0812676102159327	0.74559908947423	0.41962737438106	0.600380114893249	0.868498899415068	51.5348932031685	EPPN_T	S2	3	3	1	SPPU
39	2020-03-06 23:45:30	23:45:30	2020-03-06	11.8545692994092	554559	48.8682355424023	10569.577987472	NA	NA	0.450554378849515	0.0806537899319553	0.533112368291662	0.377282237040554	1.5878494778181	0.978977051997722	43.7839358131103	EPPN3_H	S2	3	3	3	SPPU
41	2020-03-06 23:51:06	23:51:06	2020-03-06	12.724105672243	672413	60.8416019009232	13986.3714190974	NA	NA	0.417738229110644	0.0971623073394973	0.762156674234626	0.24131067158807	1.16856861892552	0.921976921084382	55.3327993528013	EPPN3_L	S2	3	3	5	SPPU
43	2020-03-06 23:56:47	23:56:47	2020-03-06	10.1408712476457	503741	50.8509650989847	11333.5304397262	NA	NA	0.435089401247751	0.088618254148179	0.620485474477757	0.4062533368301	1.36942879091643	0.971250971140633	53.3350169391954	EPPN1_L	S2	3	3	7	SPPU
45	2020-03-07 00:02:24	00:02:24	2020-03-07	9.11657733241654	481771	62.7178329863838	13810.0740879894	NA	NA	0.333206995693224	0.0547039178880312	0.804031797345149	0.425079291983924	0.498474208035644	0.833415830219847	88.817159053945	EPPN2_H	S2	3	3	9	SPPU
47	2020-03-07 00:08:01	00:08:01	2020-03-07	8.97159532077654	445658	40.3087987551431	8983.91990773317	NA	NA	0.396423755288224	0.0854226436352147	0.698580787737943	0.421006269383438	1.28809193734787	0.986861463681067	43.28886648208	EPPN3_L	S1	3	3	11	SPPU
49	2020-03-07 00:13:25	00:13:25	2020-03-07	14.43384486269	675218	53.3928397381856	11548.1923446095	NA	NA	0.393259094456546	0.063624716123354	0.790051569677617	0.374281409082862	0.639676703999154	0.89674112015807	63.2484278183793	EPPN2_L	S1	3	3	13	SPPU
51	2020-03-07 00:18:54	00:18:54	2020-03-07	12.1426310959945	666586	57.8241478730239	13548.179284749	NA	NA	0.321805198040355	0.0710202110576834	0.826499954492206	0.174424207253722	0.569514359913613	0.853740635764251	63.0753404743685	EPPN1_H	S1	3	3	15	SPPU
53	2020-03-07 00:24:13	00:24:13	2020-03-07	2.18607240059081	146879	25.0729059084337	6150.37539291825	NA	NA	0.463334847509811	0.0585231844796608	0.657732697834462	0.265304764074777	1.68721429393183	0.970544356478956	52.7056466931803	EPPN_T	S1	3	3	17	SPPU
