datetime	INPUT1
19/03/2021 14:59	515.0799667
19/03/2021 15:04	520.5984667
19/03/2021 15:09	539.6719333
19/03/2021 15:14	537.3238333
19/03/2021 15:19	524.5356333
19/03/2021 15:24	522.6999333
19/03/2021 15:29	515.3756
19/03/2021 15:34	511.3152667
19/03/2021 15:39	516.7272
19/03/2021 15:44	521.7175333
19/03/2021 15:49	521.4722
19/03/2021 15:54	516.4231
19/03/2021 15:59	513.5949833
19/03/2021 16:04	509.8828
19/03/2021 16:09	509.6763
19/03/2021 16:14	508.0651667
19/03/2021 16:19	512.9952333
19/03/2021 16:24	520.4019333
19/03/2021 16:29	524.1583667
19/03/2021 16:34	534.8755333
19/03/2021 16:39	537.8082
19/03/2021 16:44	537.3076
19/03/2021 16:49	531.9127
19/03/2021 16:54	530.4107
19/03/2021 16:59	526.6009667
19/03/2021 17:04	523.2758333
19/03/2021 17:09	522.2748
19/03/2021 17:14	523.1925
19/03/2021 17:19	518.6529
19/03/2021 17:24	517.9410667
19/03/2021 17:29	516.9336333
19/03/2021 17:34	514.1612333
19/03/2021 17:39	511.2954667
19/03/2021 17:44	509.8157333
19/03/2021 17:49	507.9229
19/03/2021 17:54	506.5699667
19/03/2021 17:59	505.5810667
19/03/2021 18:04	505.2093667
19/03/2021 18:09	505.4065333
19/03/2021 18:14	505.1867667
19/03/2021 18:19	504.4154667
19/03/2021 18:24	503.8837333
19/03/2021 18:29	504.0553
19/03/2021 18:34	504.1493333
19/03/2021 18:39	503.8413
19/03/2021 18:44	503.3439667
19/03/2021 18:49	503.2249667
19/03/2021 18:54	503.7366
19/03/2021 18:59	503.8795333
19/03/2021 19:04	503.645
19/03/2021 19:09	503.2672
19/03/2021 19:14	503.1391
19/03/2021 19:19	503.4723
19/03/2021 19:24	503.7287333
19/03/2021 19:29	503.5474
19/03/2021 19:34	503.3189667
19/03/2021 19:39	503.1655333
19/03/2021 19:44	503.3877333
19/03/2021 19:49	503.3533333
19/03/2021 19:54	503.1047667
19/03/2021 19:59	503.377
19/03/2021 20:04	503.7078498
19/03/2021 20:09	503.2095667
19/03/2021 20:14	503.2793
19/03/2021 20:19	503.2170333
19/03/2021 20:24	502.8086
19/03/2021 20:29	502.7757
19/03/2021 20:34	503.1246
19/03/2021 20:39	503.4284
19/03/2021 20:44	503.3815333
19/03/2021 20:49	502.9975
19/03/2021 20:54	502.6840333
19/03/2021 20:59	503.0599
19/03/2021 21:04	497.5237
19/03/2021 21:09	235.0645267
19/03/2021 21:14	94.82223667
19/03/2021 21:19	94.91843
19/03/2021 21:24	95.02747667
19/03/2021 21:29	95.08646333
19/03/2021 21:34	95.03062
19/03/2021 21:39	95.00343
19/03/2021 21:44	95.05642333
19/03/2021 21:49	95.04769231
19/03/2021 21:54	95.01306333
19/03/2021 21:59	94.97165667
19/03/2021 22:04	77.45330333
19/03/2021 22:09	7.346457776
19/03/2021 22:14	0.005203897
19/03/2021 22:19	0.004785985
19/03/2021 22:24	0.004994483
19/03/2021 22:29	0.006367005
19/03/2021 22:34	0.004020537
19/03/2021 22:39	0.003783667
19/03/2021 22:44	0.003617736
19/03/2021 22:49	0.003818745
19/03/2021 22:54	0.003736477
19/03/2021 22:59	0.004014907
19/03/2021 23:04	0.003317847
19/03/2021 23:09	0.00427035
19/03/2021 23:14	0.006379853
19/03/2021 23:19	0.006210215
19/03/2021 23:24	0.003733126
19/03/2021 23:29	0.004438101
19/03/2021 23:34	0.003378056
19/03/2021 23:39	0.003124294
19/03/2021 23:44	0.003758352
19/03/2021 23:49	0.004014452
19/03/2021 23:54	0.004117278
19/03/2021 23:59	36.64777217
20/03/2021 00:04	0.002973879
20/03/2021 00:09	0.003388003
20/03/2021 00:14	0.005307749
20/03/2021 00:19	0.00704602
20/03/2021 00:24	0.006860896
20/03/2021 00:29	0.005516467
20/03/2021 00:34	0.003174306
20/03/2021 00:39	0.003183549
20/03/2021 00:44	0.003178417
20/03/2021 00:49	0.003418528
20/03/2021 00:54	0.003559587
20/03/2021 00:59	0.00342469
20/03/2021 01:04	0.003123604
20/03/2021 01:09	0.002888832
20/03/2021 01:14	0.00302383
