image_id	face	date	type	decile1	decile2	decile3	decile4	decile5	decile6	decile7	decile8	decile9	decile10
ZM009-02711	B	26/04/2021	lateral	5259	12579	20404	22526	27380	33365	31840	27682	29185	38380
ZM009-02711	C	19/03/2021	lateral	0	56	8	9	19	7	0	0	65	8
ZM009-02711	C	26/03/2021	lateral	137	879	855	369	199	108	56	39	114	9468
ZM009-02711	C	02/04/2021	lateral	544	8680	8442	8079	5684	1358	959	3175	1749	3744
ZM009-02711	C	09/04/2021	lateral	3605	13350	10832	12192	9786	8931	8741	11120	10776	13551
ZM009-02711	C	16/04/2021	lateral	2474	16079	17020	18797	20794	24145	29580	30971	30254	29343
ZM009-02711	C	26/04/2021	lateral	2263	16687	24774	26231	32678	34892	39340	43882	43755	43002
ZM009-02711	D	19/03/2021	lateral	573	25	23	293	122	54	10	10	68	1630
ZM009-02711	D	26/03/2021	lateral	496	2712	2262	3902	3571	1408	205	262	487	13323
ZM009-02711	D	02/04/2021	lateral	1219	8237	6822	6636	9345	3652	2195	1081	690	3681
ZM009-02711	D	09/04/2021	lateral	3843	11428	9971	9834	11443	9080	7144	7277	5304	4812
ZM009-02711	D	16/04/2021	lateral	2438	11782	11947	12438	19416	25448	32307	28735	29801	31681
ZM009-02711	D	26/04/2021	lateral	2515	12311	18758	22805	36353	39293	41743	46013	42325	40068
ZM009-02712	A	19/03/2021	lateral	3048	116	25	142	189	235	218	30	95	103
ZM009-02712	A	26/03/2021	lateral	8902	1317	3058	3213	3382	4410	5922	5295	1927	11328
ZM009-02712	A	02/04/2021	lateral	11564	3120	5483	4243	3176	6307	3198	2196	212	843
ZM009-02712	A	09/04/2021	lateral	10029	4190	6996	6717	6713	13586	11531	6177	2267	2408
ZM009-02712	A	16/04/2021	lateral	9304	5282	7338	15410	15202	29346	27080	27451	22665	33260
ZM009-02712	A	26/04/2021	lateral	8363	7069	10431	22399	26736	36785	40594	40300	45383	47507
ZM009-02712	B	19/03/2021	lateral	421	327	183	4	27	0	0	34	165	133
ZM009-02712	B	26/03/2021	lateral	4504	7715	3585	2304	746	137	242	566	432	12865
ZM009-02712	B	02/04/2021	lateral	4940	10267	6200	3715	5679	2212	1165	944	863	4249
ZM009-02712	B	09/04/2021	lateral	5217	10802	7043	7830	11480	12024	10092	15969	12927	14706
ZM009-02712	B	16/04/2021	lateral	6327	13252	11436	17637	19870	22069	15255	30788	29946	44098
